Date,Price,Open,High,Low,Volume,Change %,Close,Adj Close,Return,LogReturn,MA7,MA21,STD21,Close_lag1,Volume_lag1,NextClose,Direction
2024-02-20,402.79,403.24,404.49,398.01,,-0.31%,402.79,402.79,-0.003143097559768271,-0.003148047465649366,409.28999999999996,406.76142857142855,6.018226720316869,404.06,,402.18,0
2024-02-21,402.18,400.17,402.29,397.22,,-0.15%,402.18,402.18,-0.0015144368032969924,-0.0015155847218256773,406.6657142857143,407.0314285714286,5.6513177982781855,402.79,,411.65,1
2024-02-22,411.65,410.19,412.83,408.57,,2.35%,411.65,411.65,0.023546670644984724,0.023273724146513602,406.15,407.6385714285714,5.413953532967891,402.18,,410.34,0
2024-02-23,410.34,415.67,415.86,408.97,,-0.32%,410.34,410.34,-0.003182315073484765,-0.003187389406375361,406.7242857142857,408.00904761904764,5.31432677275415,411.65,,407.54,0
2024-02-26,407.54,411.45,412.16,407.36,,-0.68%,407.54,407.54,-0.006823609689525667,-0.006846996965269114,406.44571428571425,408.1361904761905,5.267201796200446,410.34,,407.48,0
2024-02-27,407.48,407.99,408.32,403.85,,-0.01%,407.48,407.48,-0.00014722481228834905,-0.0001472356509248496,406.57714285714286,408.3052380952381,5.181731003291138,407.54,,407.72,1
2024-02-28,407.72,408.18,409.3,405.32,,0.06%,407.72,407.72,0.0005889859625012317,0.000588812578346435,407.09999999999997,408.21,5.172800015464778,407.48,,413.64,1
2024-02-29,413.64,408.64,414.2,405.92,,1.45%,413.64,413.64,0.014519768468556737,0.014415366016562164,408.65000000000003,408.45047619047614,5.306992063485408,407.72,,415.5,1
2024-03-01,415.5,411.27,415.87,410.88,,0.45%,415.5,415.5,0.004496663765593212,0.004486583978728509,410.55285714285714,409.3038095238095,4.896529869396986,413.64,,414.92,0
2024-03-04,414.92,413.44,417.35,412.32,,-0.14%,414.92,414.92,-0.001395908543922908,-0.0013968837318755157,411.02000000000004,409.8342857142857,4.871548595085309,415.5,,402.65,0
2024-03-05,402.65,413.96,414.25,400.64,,-2.96%,402.65,402.65,-0.029571965680131207,-0.030018032322073486,409.9214285714285,409.4261904761905,5.103117161294344,414.92,,402.09,0
2024-03-06,402.09,402.97,405.16,398.39,,-0.14%,402.09,402.09,-0.0013907860424686724,-0.0013917540830389475,409.14285714285717,409.25666666666666,5.290522973518354,402.65,,409.14,1
2024-03-07,409.14,406.12,409.78,402.24,,1.75%,409.14,409.14,0.017533388047452192,0.017381451602101666,409.38,409.43047619047616,5.220077083903728,402.09,,406.22,0
2024-03-08,406.22,407.96,410.42,404.33,,-0.71%,406.22,406.22,-0.0071369213472159965,-0.007162510997276787,409.1657142857143,409.0576190476191,5.152823405436212,409.14,,404.52,0
2024-03-11,404.52,403.76,405.68,401.26,,-0.42%,404.52,404.52,-0.004184924425188474,-0.004193705729370112,407.86285714285714,408.6009523809523,5.107424893976553,406.22,,415.28,1
2024-03-12,415.28,407.62,415.57,406.79,,2.66%,415.28,415.28,0.026599426480767407,0.026251812485003988,407.83142857142855,408.35,4.594688237518669,404.52,,415.1,0
2024-03-13,415.1,418.1,418.18,411.45,,-0.04%,415.1,415.1,-0.0004334424966286887,-0.00043353645998041806,407.85714285714283,408.34238095238095,4.582774165024008,415.28,,425.22,1
2024-03-14,425.22,420.24,427.82,417.99,,2.44%,425.22,425.22,0.024379667549987882,0.024087226991226486,411.0814285714286,409.242380952381,5.847180435698147,415.1,,416.42,0
2024-03-15,416.42,419.29,422.6,412.79,,-2.07%,416.42,416.42,-0.020695169559286963,-0.020912315723171475,413.12857142857143,409.57238095238097,6.053760735907148,425.22,,417.32,1
2024-03-18,417.32,414.25,420.73,413.78,,0.22%,417.32,417.32,0.002161279477450595,0.00215894727272039,414.29714285714283,410.08476190476193,6.238582867163663,416.42,,421.41,1
2024-03-19,421.41,417.83,421.67,415.55,,0.98%,421.41,421.41,0.009800632608070625,0.009752917911159625,416.46714285714285,410.91095238095244,6.54227476093832,417.32,,425.23,1
2024-03-20,425.23,422.0,425.96,420.66,,0.91%,425.23,425.23,0.009064806245699053,0.009023967500901208,419.42571428571426,411.9795238095238,6.968262678881727,421.41,,429.37,1
2024-03-21,429.37,429.83,430.82,427.16,,0.97%,429.37,429.37,0.009735907626460927,0.00968881906437734,421.43857142857144,413.2742857142857,7.557536352163747,425.23,,428.74,0
2024-03-22,428.74,429.7,429.86,426.07,,-0.15%,428.74,428.74,-0.0014672659943638644,-0.0014683434832171145,423.3871428571429,414.08809523809526,8.2612623847973,429.37,,422.86,0
2024-03-25,422.86,425.24,427.41,421.61,,-1.37%,422.86,422.86,-0.013714605588468487,-0.0138095195962668,423.05,414.68428571428575,8.427345116599659,428.74,,421.65,0
2024-03-26,421.65,425.61,425.99,421.35,,-0.29%,421.65,421.65,-0.0028614671522491086,-0.002865568976072291,423.79714285714283,415.35619047619053,8.391670558470164,422.86,,421.43,0
2024-03-27,421.43,424.44,424.45,419.01,,-0.05%,421.43,421.43,-0.000521759753349893,-0.0005218959173353191,424.3842857142858,416.0204761904762,8.288524281311766,421.65,,420.72,0
2024-03-28,420.72,420.96,421.87,419.12,,-0.17%,420.72,420.72,-0.0016847400517285838,-0.0016861608222264114,424.2857142857143,416.63952380952384,8.121369020177235,421.43,,424.57,1
2024-04-01,424.57,423.95,427.89,422.22,,0.92%,424.57,424.57,0.00915097927362618,0.00910936275803653,424.1914285714286,417.16,8.268431532037356,420.72,,421.44,0
2024-04-02,421.44,420.11,422.38,417.84,,-0.74%,421.44,421.44,-0.007372164778481793,-0.007399473484209081,423.0585714285714,417.4428571428572,8.310300321201453,424.57,,420.45,0
2024-04-03,420.45,419.73,423.26,419.08,,-0.23%,420.45,420.45,-0.002349088838268787,-0.002351852276009238,421.8742857142857,417.7061904761905,8.313975268299409,421.44,,417.88,0
2024-04-04,417.88,424.99,428.67,417.57,,-0.61%,417.88,417.88,-0.0061124985134973775,-0.0061312563095996895,421.1628571428572,418.43142857142857,7.565512729295487,420.45,,425.52,1
2024-04-05,425.52,420.01,426.51,418.32,,1.83%,425.52,425.52,0.018282760601129544,0.018117640464754947,421.71571428571434,419.54714285714294,6.714923784270392,417.88,,424.59,0
2024-04-08,424.59,425.17,427.28,423.3,,-0.22%,424.59,424.59,-0.002185561195713448,-0.0021879530202048776,422.1671428571428,420.28285714285715,6.354364754132386,425.52,,426.28,1
2024-04-09,426.28,426.44,427.74,421.62,,0.40%,426.28,426.28,0.003980310417108335,0.003972409938898253,422.9614285714286,421.23809523809524,5.59731508765268,424.59,,423.26,0
2024-04-10,423.26,422.19,424.03,419.7,,-0.71%,423.26,423.26,-0.007084545369240858,-0.007109759920447812,422.77428571428567,422.1304761904762,4.08943086038784,426.28,,427.93,1
2024-04-11,427.93,425.82,429.37,422.36,,1.10%,427.93,427.93,0.011033407361905168,0.010972983371631011,423.70142857142855,422.73285714285714,3.9595089883164545,423.26,,421.9,0
2024-04-12,421.9,424.05,425.18,419.77,,-1.41%,421.9,421.9,-0.014091089664197476,-0.014191311673645719,423.9085714285714,423.0566666666667,3.5622006306945377,427.93,,413.64,0
2024-04-15,413.64,426.6,426.82,413.43,,-1.96%,413.64,413.64,-0.019578099075610367,-0.019772288813518706,423.30285714285714,422.50523809523804,4.070586713296217,421.9,,414.58,1
2024-04-16,414.58,414.57,418.4,413.73,,0.23%,414.58,414.58,0.002272507494439635,0.0022699292545909308,421.73999999999995,422.417619047619,4.224994561843437,413.64,,411.84,0
2024-04-17,411.84,417.25,418.88,410.33,,-0.66%,411.84,411.84,-0.006609098364609989,-0.0066310351636034,419.9185714285714,422.15666666666664,4.698307496675912,414.58,,404.27,0
2024-04-18,404.27,410.63,411.89,403.95,,-1.84%,404.27,404.27,-0.018380924630924667,-0.018551952839171586,416.77428571428567,421.3404761904762,6.110923396827432,411.84,,399.12,0
2024-04-19,399.12,404.03,405.48,397.77,,-1.27%,399.12,399.12,-0.012739011056966842,-0.012820848015808328,413.3257142857143,420.0971428571429,7.723423556206156,404.27,,400.96,1
2024-04-22,400.96,400.08,402.85,395.75,,0.46%,400.96,400.96,0.00461014231308865,0.004599548154921408,409.4728571428571,418.7442857142857,8.470050514269383,399.12,,407.57,1
2024-04-23,407.57,404.24,408.2,403.06,,1.65%,407.57,407.57,0.016485434956105438,0.01635102536197105,407.42571428571426,417.7361904761904,8.480696006926232,400.96,,409.06,1
2024-04-24,409.06,409.56,412.47,406.78,,0.37%,409.06,409.06,0.0036558137252495904,0.0036491474803457564,406.77142857142854,417.0790476190476,8.59766939627299,407.57,,399.04,0
2024-04-25,399.04,394.03,399.89,388.03,,-2.45%,399.04,399.04,-0.02449518408057494,-0.024800182058348587,404.5514285714285,416.0023809523809,9.377015999112386,409.06,,406.32,1
2024-04-26,406.32,412.17,413.0,405.76,,1.82%,406.32,406.32,0.018243785084202102,0.018079364001317953,403.7628571428572,415.2828571428571,9.51836653153063,399.04,,402.25,0
2024-04-29,402.25,405.25,406.32,399.19,,-1.00%,402.25,402.25,-0.01001673557786964,-0.010067240620496958,403.4742857142857,414.4033333333333,9.838785663552427,406.32,,389.33,0
2024-04-30,389.33,401.49,402.16,389.17,,-3.21%,389.33,389.33,-0.03211932877563706,-0.03264647283291663,402.07571428571424,412.72523809523807,10.959491146511711,402.25,,394.94,1
2024-05-01,394.94,392.61,401.72,390.31,,1.44%,394.94,394.94,0.014409369943235939,0.014306541589587678,401.2157142857142,411.4633333333333,11.421768835575616,389.33,,397.84,1
2024-05-02,397.84,397.66,399.93,394.65,,0.73%,397.84,397.84,0.007342887527219233,0.007316059777319481,399.8257142857143,410.3866666666667,11.596610855475276,394.94,,406.66,1
2024-05-03,406.66,402.28,407.15,401.86,,2.22%,406.66,406.66,0.022169716468932288,0.021927541075712598,399.48285714285714,409.85238095238094,11.492108120254223,397.84,,413.54,1
2024-05-06,413.54,408.76,413.93,406.37,,1.69%,413.54,413.54,0.016918310136231796,0.016776789490428302,401.55428571428575,409.28190476190474,10.960522167783365,406.66,,409.34,0
2024-05-07,409.34,414.66,414.67,409.09,,-1.02%,409.34,409.34,-0.01015621221647256,-0.010208138421320798,401.9857142857143,408.5557142857143,10.385692356038692,413.54,,410.54,1
2024-05-08,410.54,408.17,412.23,406.71,,0.29%,410.54,410.54,0.0029315483461183067,0.0029272597377296736,403.17,407.80619047619047,9.579252828999767,409.34,,412.32,1
2024-05-09,412.32,410.57,412.72,409.1,,0.43%,412.32,412.32,0.00433575291080035,0.004326380615022106,406.45428571428573,407.28523809523807,8.975234603645283,410.54,,414.74,1
2024-05-10,414.74,412.94,415.38,411.8,,0.59%,414.74,414.74,0.005869227784245368,0.005852070965639534,409.28285714285715,406.65714285714284,7.849138260252983,412.32,,413.72,0
2024-05-13,413.72,418.01,418.35,410.82,,-0.25%,413.72,413.72,-0.002459372136760285,-0.002462401360091368,411.5514285714285,406.26761904761906,7.233714056251814,414.74,,416.56,1
2024-05-14,416.56,412.02,417.49,411.55,,0.69%,416.56,416.56,0.006864546069805577,0.006841092345040668,412.96571428571434,406.40666666666664,7.408466328014817,413.72,,423.08,1
2024-05-15,423.08,417.9,423.81,417.27,,1.57%,423.08,423.08,0.015652006913769778,0.015530777605208343,414.3285714285715,406.8114285714285,8.07918206609671,416.56,,420.99,0
2024-05-16,420.99,421.8,425.42,420.35,,-0.49%,420.99,420.99,-0.0049399640729884675,-0.0049522060286979926,415.99285714285713,407.2471428571429,8.594248741371588,423.08,,420.21,0
2024-05-17,420.21,422.54,422.92,418.02,,-0.19%,420.21,420.21,-0.0018527756003706708,-0.0018544941120891172,417.3742857142857,408.0061904761905,9.011923477365983,420.99,,425.34,1
2024-05-20,425.34,420.21,426.77,419.99,,1.22%,425.34,425.34,0.012208181623474035,0.01213426277591618,419.23428571428576,409.25476190476195,9.52117199668566,420.21,,429.04,1
2024-05-21,429.04,426.82,432.97,424.85,,0.87%,429.04,429.04,0.008698923214369714,0.008661305579688625,421.27714285714285,410.5919047619047,10.242460455890019,425.34,,430.52,1
2024-05-22,430.52,430.09,432.41,427.13,,0.34%,430.52,430.52,0.0034495618124184,0.0034436257214277106,423.6771428571429,411.68476190476184,11.09296156084886,429.04,,427.0,0
2024-05-23,427.0,432.97,433.6,425.42,,-0.82%,427.0,427.0,-0.008176159063458144,-0.008209767167472933,425.1685714285714,412.5390476190476,11.561611438186848,430.52,,430.16,1
2024-05-24,430.16,427.19,431.06,424.41,,0.74%,430.16,430.16,0.007400468384074932,0.007373219272798081,426.17999999999995,414.02095238095234,11.73791715116496,427.0,,430.32,1
2024-05-28,430.32,429.63,430.82,426.6,,0.04%,430.32,430.32,0.00037195462153616354,0.00037188546356447584,427.5128571428572,415.16380952380945,12.11300890620897,430.16,,429.17,0
2024-05-29,429.17,425.69,430.94,425.69,,-0.27%,429.17,429.17,-0.0026724298196689755,-0.0026760071350771532,428.79285714285714,416.44571428571425,12.10247436329771,430.32,,414.67,0
2024-05-30,414.67,424.3,424.3,414.24,,-3.38%,414.67,414.67,-0.03378614535032742,-0.0343700876459951,427.2685714285714,417.6523809523809,10.40843883815489,429.17,,415.13,1
2024-05-31,415.13,416.75,416.75,404.51,,0.11%,415.13,415.13,0.001109315841512526,0.0011087010053507313,425.28142857142853,418.6138095238095,9.049339465502245,414.67,,413.52,0
2024-06-03,413.52,415.52,416.43,408.92,,-0.39%,413.52,413.52,-0.0038783031821357783,-0.003885843301481734,422.8528571428571,419.3604761904763,7.811846437424133,415.13,,416.07,1
2024-06-04,416.07,412.43,416.44,409.68,,0.62%,416.07,416.07,0.00616656993615794,0.006147634448569659,421.2914285714286,419.8085714285714,7.300025538115195,413.52,,424.01,1
2024-06-05,424.01,417.81,424.08,416.3,,1.91%,424.01,424.01,0.01908332732472906,0.018903524523145213,420.4128571428572,420.3071428571429,7.2074420863828275,416.07,,424.52,1
2024-06-06,424.52,424.01,425.31,420.58,,0.12%,424.52,424.52,0.001202801820711752,0.001202079034123092,419.5842857142857,421.03,6.80235767951015,424.01,,423.85,0
2024-06-07,423.85,426.2,426.28,423.0,,-0.16%,423.85,423.85,-0.0015782530858380328,-0.001579499839207087,418.82428571428574,421.66380952380956,6.3832503289386455,424.52,,427.87,1
2024-06-10,427.87,424.7,428.08,423.89,,0.95%,427.87,427.87,0.009484487436593136,0.009439792071799598,420.71,422.4042857142857,6.1425292603516395,423.85,,432.68,1
2024-06-11,432.68,425.48,432.82,425.25,,1.12%,432.68,432.68,0.011241732301867424,0.011179013635874695,423.21714285714285,423.25857142857143,6.269515360626609,427.87,,441.06,1
2024-06-12,441.06,435.32,443.4,433.25,,1.94%,441.06,441.06,0.019367662013497267,0.01918249585196244,427.15142857142865,424.5604761904762,6.987305973112571,432.68,,441.58,1
2024-06-13,441.58,440.85,443.39,439.37,,0.12%,441.58,441.58,0.0011789779168367431,0.0011782834681454038,430.7957142857143,425.7519047619048,7.6560300541772754,441.06,,442.57,1
2024-06-14,442.57,438.27,443.14,436.72,,0.22%,442.57,442.57,0.002241949363648743,0.00223943994513376,433.44714285714286,426.68,8.455520681778813,441.58,,448.37,1
2024-06-17,448.37,442.58,450.94,440.72,,1.31%,448.37,448.37,0.01310527148247731,0.013020140382955866,436.85428571428565,427.9838095238095,9.57156804091648,442.57,,446.34,0
2024-06-18,446.34,449.7,450.14,444.89,,-0.45%,446.34,446.34,-0.004527510761201725,-0.004537790978981311,440.0671428571428,429.2280952380953,10.188971301876594,448.37,,445.7,0
2024-06-20,445.7,446.3,446.53,441.27,,-0.14%,445.7,445.7,-0.0014338844826813357,-0.0014349134787948383,442.61428571428576,430.197619047619,10.753533328520788,446.34,,449.78,1
2024-06-21,449.78,447.38,450.58,446.51,,0.92%,449.78,449.78,0.009154139555755059,0.009112494377829196,445.0571428571429,431.18523809523816,11.563770846504362,445.7,,447.67,0
2024-06-24,447.67,449.8,452.75,446.41,,-0.47%,447.67,447.67,-0.004691182355818335,-0.004702220486551524,446.0014285714286,432.0019047619048,12.10726006123863,449.78,,450.95,1
2024-06-25,450.95,448.25,451.42,446.75,,0.73%,450.95,450.95,0.007326825563473083,0.00730011476792948,447.34,433.14238095238096,12.724802122139526,447.67,,452.16,1
2024-06-26,452.16,449.0,453.6,448.19,,0.27%,452.16,452.16,0.002683224304246723,0.0026796308844455833,448.71000000000004,434.19,13.356907201893229,450.95,,452.85,1
2024-06-27,452.85,452.18,456.17,451.77,,0.15%,452.85,452.85,0.0015260084925690087,0.0015248453247948873,449.35,435.2628571428572,13.923337654045394,452.16,,446.95,0
2024-06-28,446.95,453.07,455.38,446.41,,-1.30%,446.95,446.95,-0.013028596665562664,-0.013114213287096015,449.4371428571429,436.10952380952386,14.074088416728495,452.85,,456.73,1
2024-07-01,456.73,448.66,457.37,445.66,,2.19%,456.73,456.73,0.02188164224186151,0.02164567513555371,451.0128571428571,438.112380952381,13.861655710902813,446.95,,459.28,1
2024-07-02,459.28,453.2,459.59,453.11,,0.56%,459.28,459.28,0.005583167297965819,0.0055676391899659,452.37,440.21476190476193,13.546158355432745,456.73,,460.77,1
2024-07-03,460.77,458.19,461.02,457.88,,0.32%,460.77,460.77,0.003244208326075526,0.003238957236265132,454.24142857142857,442.4647619047618,12.793676414168793,459.28,,467.56,1
2024-07-05,467.56,459.61,468.35,458.96,,1.47%,467.56,467.56,0.014736202443735635,0.014628679643923122,456.61428571428576,444.9166666666667,12.410483605940358,460.77,,466.24,0
2024-07-08,466.24,466.55,467.7,464.46,,-0.28%,466.24,466.24,-0.0028231670801608377,-0.0028271597327295377,458.62571428571425,446.92761904761903,12.274109704886902,467.56,,459.54,0
2024-07-09,459.54,467.0,467.33,458.0,,-1.44%,459.54,459.54,-0.014370281400137297,-0.01447453385728289,459.58142857142855,448.5952380952381,11.42726153505094,466.24,,466.25,1
2024-07-10,466.25,461.22,466.46,458.86,,1.46%,466.25,466.25,0.014601558079818888,0.014495981808468086,462.3385714285714,450.6142857142857,10.548465088071488,459.54,,454.7,0
2024-07-11,454.7,462.98,464.78,451.55,,-2.48%,454.7,454.7,-0.024772117962466478,-0.02508411012706041,462.04857142857145,451.89190476190475,9.193786825375744,466.25,,453.55,0
2024-07-12,453.55,454.32,456.36,450.64,,-0.25%,453.55,453.55,-0.002529140092368598,-0.0025323437700117343,461.22999999999996,452.88571428571424,8.072872829065341,454.7,,453.96,1
2024-07-15,453.96,453.3,457.26,451.43,,0.09%,453.96,453.96,0.0009039797155769858,0.0009035713719849185,460.2571428571428,453.5,7.605286976832319,453.55,,449.52,0
2024-07-16,449.52,454.22,454.3,446.66,,-0.98%,449.52,449.52,-0.009780597409463354,-0.009828741628995392,457.67999999999995,453.8780952380953,7.1678439010940505,453.96,,443.52,0
2024-07-17,443.52,442.59,444.85,439.18,,-1.33%,443.52,443.52,-0.013347570742124892,-0.013437450242459003,454.4342857142857,453.9233333333333,7.095540383459762,449.52,,440.37,0
2024-07-18,440.37,444.34,444.65,434.4,,-0.71%,440.37,440.37,-0.007102272727272707,-0.007127613924232124,451.69571428571436,453.54238095238094,7.605062724763964,443.52,,437.11,0
